,density,Run,Saved_trees,height,width,burn_dens,ext_prob
0,0.2,0,0.9130434782608695,100,100,0.01,0.5
1,0.2,1,0.9067331670822942,100,100,0.01,0.5
2,0.2,2,0.9044522261130565,100,100,0.01,0.5
3,0.2,3,0.9085858585858586,100,100,0.01,0.5
4,0.2,4,0.9128305582761999,100,100,0.01,0.5
5,0.2,5,0.9099950273495774,100,100,0.01,0.5
6,0.2,6,0.9059701492537313,100,100,0.01,0.5
7,0.2,7,0.9138381201044387,100,100,0.01,0.5
8,0.2,8,0.9121359223300971,100,100,0.01,0.5
9,0.2,9,0.9107054760730143,100,100,0.01,0.5
10,0.4,10,0.9014962593516209,100,100,0.01,0.5
11,0.4,11,0.9056603773584906,100,100,0.01,0.5
12,0.4,12,0.8943679599499375,100,100,0.01,0.5
13,0.4,13,0.8985286656519533,100,100,0.01,0.5
14,0.4,14,0.9012928891098956,100,100,0.01,0.5
15,0.4,15,0.8914824931710951,100,100,0.01,0.5
16,0.4,16,0.8880654229491439,100,100,0.01,0.5
17,0.4,17,0.9087085601187531,100,100,0.01,0.5
18,0.4,18,0.9045112781954887,100,100,0.01,0.5
19,0.4,19,0.8943482688391039,100,100,0.01,0.5
20,0.6,20,0.8388649186856953,100,100,0.01,0.5
21,0.6,21,0.8561884082178053,100,100,0.01,0.5
22,0.6,22,0.8758355614973262,100,100,0.01,0.5
23,0.6,23,0.8683899307315425,100,100,0.01,0.5
24,0.6,24,0.836457984599933,100,100,0.01,0.5
25,0.6,25,0.8818607764390897,100,100,0.01,0.5
26,0.6,26,0.8378106111484218,100,100,0.01,0.5
27,0.6,27,0.8603185136031851,100,100,0.01,0.5
28,0.6,28,0.8552368245496998,100,100,0.01,0.5
29,0.6,29,0.8580246913580247,100,100,0.01,0.5
30,0.8,30,0.7459210362436169,100,100,0.01,0.5
31,0.8,31,0.7567805123053741,100,100,0.01,0.5
32,0.8,32,0.7462872831648572,100,100,0.01,0.5
33,0.8,33,0.7476531620553359,100,100,0.01,0.5
34,0.8,34,0.7614553582515833,100,100,0.01,0.5
35,0.8,35,0.7678103555832814,100,100,0.01,0.5
36,0.8,36,0.7500313558259124,100,100,0.01,0.5
37,0.8,37,0.7622351629290051,100,100,0.01,0.5
38,0.8,38,0.7599196383726771,100,100,0.01,0.5
39,0.8,39,0.7674909904312166,100,100,0.01,0.5
