,density,Run,Saved_trees,height,width,burn_dens,ext_prob
0,0.2,0,0.8425510712506228,100,100,0.02,0.5
1,0.2,1,0.8334932821497121,100,100,0.02,0.5
2,0.2,2,0.844162188568637,100,100,0.02,0.5
3,0.2,3,0.8334164588528679,100,100,0.02,0.5
4,0.2,4,0.8369401107196779,100,100,0.02,0.5
5,0.2,5,0.8405511811023622,100,100,0.02,0.5
6,0.2,6,0.8432459677419355,100,100,0.02,0.5
7,0.2,7,0.837029893924783,100,100,0.02,0.5
8,0.2,8,0.8381679389312977,100,100,0.02,0.5
9,0.2,9,0.8361069087241553,100,100,0.02,0.5
10,0.4,10,0.8364922921405105,100,100,0.02,0.5
11,0.4,11,0.832603406326034,100,100,0.02,0.5
12,0.4,12,0.8312046080641122,100,100,0.02,0.5
13,0.4,13,0.826541008660214,100,100,0.02,0.5
14,0.4,14,0.8345578920699265,100,100,0.02,0.5
15,0.4,15,0.8320400500625782,100,100,0.02,0.5
16,0.4,16,0.8401826484018264,100,100,0.02,0.5
17,0.4,17,0.8454636091724825,100,100,0.02,0.5
18,0.4,18,0.8391935087287927,100,100,0.02,0.5
19,0.4,19,0.8357905439755974,100,100,0.02,0.5
20,0.6,20,0.8142121866179645,100,100,0.02,0.5
21,0.6,21,0.8056105610561056,100,100,0.02,0.5
22,0.6,22,0.8005409060175794,100,100,0.02,0.5
23,0.6,23,0.7828991315965264,100,100,0.02,0.5
24,0.6,24,0.8017212843429328,100,100,0.02,0.5
25,0.6,25,0.8090684253915911,100,100,0.02,0.5
26,0.6,26,0.8193409504884914,100,100,0.02,0.5
27,0.6,27,0.8209825145711906,100,100,0.02,0.5
28,0.6,28,0.8009027081243731,100,100,0.02,0.5
29,0.6,29,0.8090203205022303,100,100,0.02,0.5
30,0.8,30,0.7203506574827803,100,100,0.02,0.5
31,0.8,31,0.7589174357695185,100,100,0.02,0.5
32,0.8,32,0.7494654760407496,100,100,0.02,0.5
33,0.8,33,0.7273295028728454,100,100,0.02,0.5
34,0.8,34,0.7307643873567561,100,100,0.02,0.5
35,0.8,35,0.7098029371156018,100,100,0.02,0.5
36,0.8,36,0.7419354838709677,100,100,0.02,0.5
37,0.8,37,0.7224946561046146,100,100,0.02,0.5
38,0.8,38,0.7343494142839149,100,100,0.02,0.5
39,0.8,39,0.7389796929172858,100,100,0.02,0.5
