,density,Run,Saved_trees,height,width,burn_dens,ext_prob
0,0.2,0,0.7839444995044599,100,100,0.03,0.5
1,0.2,1,0.7809290953545233,100,100,0.03,0.5
2,0.2,2,0.781029263370333,100,100,0.03,0.5
3,0.2,3,0.7691537305958939,100,100,0.03,0.5
4,0.2,4,0.7755303404045387,100,100,0.03,0.5
5,0.2,5,0.7601765571358509,100,100,0.03,0.5
6,0.2,6,0.778169014084507,100,100,0.03,0.5
7,0.2,7,0.7573904179408767,100,100,0.03,0.5
8,0.2,8,0.7592125189298334,100,100,0.03,0.5
9,0.2,9,0.7977306364084854,100,100,0.03,0.5
10,0.4,10,0.7655741806354766,100,100,0.03,0.5
11,0.4,11,0.7810957551826259,100,100,0.03,0.5
12,0.4,12,0.7616501145912911,100,100,0.03,0.5
13,0.4,13,0.7830937035200793,100,100,0.03,0.5
14,0.4,14,0.7711716212840369,100,100,0.03,0.5
15,0.4,15,0.7707539984767707,100,100,0.03,0.5
16,0.4,16,0.7658820551759048,100,100,0.03,0.5
17,0.4,17,0.7691154422788605,100,100,0.03,0.5
18,0.4,18,0.768595041322314,100,100,0.03,0.5
19,0.4,19,0.7676919229807452,100,100,0.03,0.5
20,0.6,20,0.7531929009786034,100,100,0.03,0.5
21,0.6,21,0.7583236706973663,100,100,0.03,0.5
22,0.6,22,0.7532271584241408,100,100,0.03,0.5
23,0.6,23,0.7754391779913822,100,100,0.03,0.5
24,0.6,24,0.7542288557213931,100,100,0.03,0.5
25,0.6,25,0.739109232769831,100,100,0.03,0.5
26,0.6,26,0.7565389044250699,100,100,0.03,0.5
27,0.6,27,0.7495840266222962,100,100,0.03,0.5
28,0.6,28,0.746550591327201,100,100,0.03,0.5
29,0.6,29,0.7565304755525787,100,100,0.03,0.5
30,0.8,30,0.7084319342383858,100,100,0.03,0.5
31,0.8,31,0.6816488701266451,100,100,0.03,0.5
32,0.8,32,0.681376215407629,100,100,0.03,0.5
33,0.8,33,0.7038902178018381,100,100,0.03,0.5
34,0.8,34,0.6997379258704605,100,100,0.03,0.5
35,0.8,35,0.6990376202974629,100,100,0.03,0.5
36,0.8,36,0.6926281242110578,100,100,0.03,0.5
37,0.8,37,0.6940690690690691,100,100,0.03,0.5
38,0.8,38,0.6801846768155727,100,100,0.03,0.5
39,0.8,39,0.703894472361809,100,100,0.03,0.5
